catalog_record_id,evidence_status,retrieved_on,sha256,snapshot_path,source_group,source_id,url,url_role
,public_metadata_snapshot,2026-09-14T18:02:04.896030+00:00,e475edc8c53a6cec39328382dec9fa9ad09e238a18d90a55c17cfafb326d7c11,data_dictionary/sources/hr_vilage/antibody/GSE48023_antibody.csv,hr_vilage,SOURCE_0eae2e2456689fe7ab,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE48023_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:04.894665+00:00,120bffb4d342b1239767f2a2668480800a57c5dcf3eea3b348c429599854a3cc,data_dictionary/sources/hr_vilage/antibody/GSE48762_antibody.csv,hr_vilage,SOURCE_80016febd8d9e940b1,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE48762_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:04.896674+00:00,62a5ca00967e79a786e6985f4b980b67f4a174fc35dd2c196d91a0c36bdc9415,data_dictionary/sources/hr_vilage/antibody/GSE59635_antibody.csv,hr_vilage,SOURCE_50097e6ceecfc3d14c,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE59635_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:05.437420+00:00,76b63892649911b466b1e5fae2d0e0a77038e1c115e71d76d405e3225fbd810b,data_dictionary/sources/hr_vilage/antibody/GSE59654_antibody.csv,hr_vilage,SOURCE_80fbcbeacc424a07b9,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE59654_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:05.439052+00:00,15bebbf192279d7737032859582eeda360cc086a29cdc1aa9531e3964ad860cd,data_dictionary/sources/hr_vilage/antibody/GSE59743_antibody.csv,hr_vilage,SOURCE_b7812840366c003361,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE59743_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:05.462644+00:00,4c156bfad95a708bff9330fec5d2ef1747df76de09af1ebd660b46b4df810794,data_dictionary/sources/hr_vilage/antibody/GSE68310_antibody.csv,hr_vilage,SOURCE_3a4392c45ee2c0b806,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE68310_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:05.972106+00:00,6bff02566307a7a6da42e1a44aae156f76521ab97ab85c221cc4fed3ed2a81c6,data_dictionary/sources/hr_vilage/antibody/GSE74811_antibody.csv,hr_vilage,SOURCE_8b8d31195fbbd16843,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE74811_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:06.024846+00:00,8f2d9e8a16d60cb617c13875d7c47f5a1bae426cd0e963eed10f2b37b8e50271,data_dictionary/sources/hr_vilage/antibody/GSE74813_antibody.csv,hr_vilage,SOURCE_b7bd829fb31358a372,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE74813_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:06.034792+00:00,5756751989fc078483c77056895a8ed88ae3fbd2ac07f03b232d9a4a00474cc7,data_dictionary/sources/hr_vilage/antibody/GSE74815_antibody.csv,hr_vilage,SOURCE_522aa5a7a590abd1f1,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE74815_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:06.519121+00:00,a1cac08add870ee5adc0b822ca963e0c4b1a08f3b02b66b030680279f860f624,data_dictionary/sources/hr_vilage/antibody/GSE74816_antibody.csv,hr_vilage,SOURCE_880807e65aaaf8f29c,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE74816_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:06.597651+00:00,27a2c56e9fad3426fd4022c5453c3d4706eb47f4bc58f5a38264d3eb3886c6e6,data_dictionary/sources/hr_vilage/antibody/SDY112_antibody.csv,hr_vilage,SOURCE_bef93e34e8effb4fc6,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/SDY112_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:06.598643+00:00,2c7690b20f78e00bb79abb477bec3016b74e815f6cb9b6f9c542697e732ed9d5,data_dictionary/sources/hr_vilage/antibody/SDY311_antibody.csv,hr_vilage,SOURCE_4b6d151876860e4b28,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/SDY311_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:07.218792+00:00,45081e97178f567fafecc56dc20a400b7f949eeff2828af7efe051002118a1d6,data_dictionary/sources/hr_vilage/antibody/SDY312_antibody.csv,hr_vilage,SOURCE_34a254b3098c2f9459,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/SDY312_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:07.305941+00:00,0e368cab6d9dc1c4f1e9d0fd6ce270809bee6f948ba56208523ff0929b04cc1e,data_dictionary/sources/hr_vilage/antibody/SDY314_antibody.csv,hr_vilage,SOURCE_4fce3c78b09607b2ed,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/SDY314_antibody.csv,
